neighbourhood,listings
Alamo Square,105
Balboa Terrace,52
Bayview,95
Bernal Heights,394
Chinatown,113
Civic Center,31
Cole Valley,100
Cow Hollow,92
Crocker Amazon,47
Daly City,2
Diamond Heights,21
Dogpatch,37
Downtown,200
Duboce Triangle,131
Excelsior,101
Fillmore District,1
Financial District,47
Fisherman's Wharf,49
Forest Hill,14
Glen Park,84
Haight-Ashbury,166
Hayes Valley,110
Ingleside,44
Inner Sunset,139
Japantown,9
Lakeshore,36
Lower Haight,149
Marina,142
Mission Bay,17
Mission District,970
Mission Terrace,58
Nob Hill,296
Noe Valley,369
North Beach,80
Oceanview,46
Outer Sunset,246
Pacific Heights,260
Parkside,71
Portola,33
Potrero Hill,248
Presidio,4
Presidio Heights,36
Richmond District,438
Russian Hill,107
Sea Cliff,5
SoMa,462
South Beach,116
Sunnyside,93
Sunset District,5
Telegraph Hill,109
Tenderloin,113
The Castro,334
Twin Peaks,94
Union Square,148
Visitacion Valley,23
West Portal,11
Western Addition,5
Western Addition/NOPA,470
